trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,down,0.01,db,0.04753024,0.0006338,132.4791783,132.4791783,132.778728,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,down,0.01,db,0.04747555,0.0006473,134.7784227,134.7784227,135.0779931,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,down,0.01,db,0.047420923,0.0003838,137.1108614,137.1108614,137.4106158,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,down,0.01,db,0.047366359,0.0006518,139.4601616,139.4601616,,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,down,0.01,db,0.047311858,0.0006009,141.726014,141.726014,142.0256573,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,down,0.01,db,0.04725742,0.0006443,144.0587087,144.0587087,,0,0,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.01,db,0.047311858,0.0002772,146.2912499,146.2912499,146.5908345,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.01,db,0.047311858,0.0006657,148.6570259,148.6570259,148.9567885,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.01,db,0.047311858,0.0006563,151.0227643,151.0227643,151.3226939,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,down,0.005,db,0.047284631,0.0006464,153.3884988,153.3884988,153.6882527,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,down,0.005,db,0.047284631,0.0006215,155.7380276,155.7380276,156.0375984,1,1,460663,1,2022-09-08_17h39.33.440,experiment-1,2022.2.4,60.0024721
